Sufijo,Número,frec_afijada,frec_pseudoafijada,count_afijada,count_pseudoafijada,prop_frec_afij,prop_count_afij
 filo ,singular ,10.0,42.0,3.0,2.0,0.19230769230769232,0.6
 fito ,Total,14.0,3.0,6.0,2.0,0.8235294117647058,0.75
 fito ,plural ,8.0,1.0,5.0,1.0,0.8888888888888888,0.8333333333333334
 fito ,singular ,6.0,2.0,1.0,1.0,0.75,0.5
 fobia ,Total,21.0,44.0,6.0,2.0,0.3230769230769231,0.75
 fobia ,singular ,21.0,44.0,6.0,2.0,0.3230769230769231,0.75
 fono ,Total,996.0,1.0,12.0,1.0,0.9989969909729187,0.9230769230769231
 fono ,plural ,2.0,0.0,1.0,0.0,1.0,1.0
 fono ,singular ,994.0,1.0,11.0,1.0,0.9989949748743718,0.9166666666666666
 fonía ,Total,44.0,2.0,7.0,1.0,0.9565217391304348,0.875
 fonía ,singular ,44.0,2.0,7.0,1.0,0.9565217391304348,0.875
 fora ,Total,74.0,2.0,1.0,1.0,0.9736842105263158,0.5
 fora ,singular ,74.0,2.0,1.0,1.0,0.9736842105263158,0.5
 foro ,Total,45.0,100.0,2.0,4.0,0.3103448275862069,0.3333333333333333
 foro ,plural ,1.0,0.0,1.0,0.0,1.0,1.0
 foro ,singular ,44.0,100.0,1.0,4.0,0.3055555555555556,0.2
 frenia ,Total,17.0,0.0,2.0,0.0,1.0,1.0
 frenia ,singular ,17.0,0.0,2.0,0.0,1.0,1.0
 fuga ,Total,4.0,309.0,2.0,3.0,0.012779552715654952,0.4
 fuga ,plural ,3.0,0.0,1.0,0.0,1.0,1.0
 fuga ,singular ,1.0,309.0,1.0,3.0,0.0032258064516129032,0.25
 gamia ,Total,8.0,5.0,4.0,1.0,0.6153846153846154,0.8
 gamia ,singular ,8.0,5.0,4.0,1.0,0.6153846153846154,0.8
 geo ,Total,15.0,0.0,2.0,0.0,1.0,1.0
 geo ,singular ,15.0,0.0,2.0,0.0,1.0,1.0
 ginia ,Total,9.0,26.0,3.0,2.0,0.2571428571428571,0.6
 ginia ,singular ,9.0,26.0,3.0,2.0,0.2571428571428571,0.6
 gnosia ,Total,4.0,0.0,2.0,0.0,1.0,1.0
 gnosia ,singular ,4.0,0.0,2.0,0.0,1.0,1.0
 grafía ,Total,1489.0,11.0,65.0,3.0,0.9926666666666667,0.9558823529411765
